CHÚ THÍCH CAMPAIGN:,,,,,,,,
Campaign A: Zeus (Full Report) - Thúc đẩy doanh thu trực tiếp,,,,,,,,
Campaign B: Artemis (Mini Tools) - Thu hút Leads đỉnh phễu & Upsell,,,,,,,,
Campaign C: B2B HR Scoring & SME - Giải pháp xây dựng đội ngũ,,,,,,,,
,,,,,,,,
CHÚ THÍCH PERSONA:,,,,,,,,
Nhóm Sự Nghiệp: P01-Tù nhân lương cao | P02-Chuyển ngành muộn | P03-Founder kiệt sức | P04-Solopreneur | P05-Ngã rẽ thăng tiến | P06-FOMO Investor,,,,,,,,
Nhóm Mối Quan Hệ: P07-Anxious Dater | P08-Lắc lư hôn nhân | P09-Xây lại từ đầu | P10-Phụ huynh hoang mang,,,,,,,,
Nhóm Quản Trị: P11-Quản lý kiệt sức | P12-Nạn nhân đối tác | P13-Drained Empath (Bị hút năng lượng),,,,,,,,
,,,,,,,,
THÁNG 4,,,,,,,,
Publish day,15/04/2026,16/04/2026,18/04/2026,21/04/2026,24/04/2026,27/04/2026,29/04/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus)
Angle,Nỗ lực mãi chưa đến nơi? Gốc rễ năng lượng mâu thuẫn.,Xem bát tự / lá số sinh mệnh,"Sự nghiệp tắc nghẽn, đúng hướng hay sai thời điểm?",Case study ẩn danh: Nhảy việc đúng thời điểm,Tù nhân lương cao: Bạn đang bán rẻ ước mơ?,Giải mã vận hạn trễ nhịp,"Ngã rẽ thăng tiến: Đi hay ở"
Format,Meta Ads - Video 30s,Google Search - Search Ad,TikTok Cold - Video 15s,FB Organic - Long-form,Meta Retargeting - Single Image,TikTok Organic - Video 1-min,Meta Ads - Carousel
Objective,Tạo Awareness & Leads,Bắt Intention,Tạo Awareness,Xây niềm tin (Trust),Tạo chuyển đổi (Zeus),Tạo sự tò mò,Tạo chuyển đổi
Link,,,,,,,
Details,"Phân tích vì sao nỗ lực mù quáng là vô ích. Dẫn vào Zeus Report (Persona P01, P02).","Keywords: xem bát tự online, hạn 2026 - Boot BOF.",POV: Lựa chọn sai thời điểm sẽ kéo lùi 3 năm.,Founder share câu chuyện 1 khách hàng thay đổi định hướng sau khi xem Zeus.,Khai thác Persona P01. Đánh mạnh vào sự kiệt quệ tài liệu tâm lý.,Khái niệm Đại vận sớm và muộn. Đừng áp dụng chuẩn chung tuổi 25 cho người tuổi 30.,Dùng Zeus Yearly phân tích cơ hội đi hay ở (Persona P05).
,,,,,,,,
THÁNG 5,,,,,,,,
Publish day,02/05/2026,05/05/2026,10/05/2026,13/05/2026,18/05/2026,20/05/2026,25/05/2026,28/05/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus)
Angle,"Kinh doanh cần nỗ lực, thành bại nhờ thời điểm","Cắt lỗ hay Gồng lãi? Trực giác vs Bản đồ",Banner: Bản đồ năng lượng 10 năm Zeus,Case study: Khởi nghiệp suýt phá sản,Tù nhân lương cao hút cạn sinh lực (Angle 2),Insight Bát tự miễn phí,Sợ trễ nhịp lúc 30 tuổi,"Tuổi 30 nên làm gì, xem mệnh qua ngũ hành"
Format,Meta Ads - Line Chart Ads,TikTok Ads - Video 30s,Google Display - Banner GDN,FB Organic - Album,Meta Ads - Short Video,Email Marketing - Text Email,TikTok Ads - Video 15s,Blog/SEO - Long article
Objective,Scale Ads,Scale Ads,Retargeting,Xây niềm tin,Scale Ads,Chăm sóc Leads,Scale Ads,Đón traffic SEO
Link,,,,,,,,
Details,Persona P03 (Founder kiệt sức) nỗ lực chọn sai thiên thời.,Persona P06 (FOMO) phân tích tài vận đầu tư theo lá số bẩm sinh.,Hiển thị banner bám đuổi cho những người từng vào landing page mà chưa mua.,Storytelling sâu sắc về Founder vỡ nợ vì gánh sai sinh khí.,Góc nhìn thứ 2 của P01: Ngũ hành khắc công việc.,Gửi chuỗi email dẫn feedback.,Khai thác Persona P02 góc nhìn 2 (Late Bloomer).,"Target Keyword SEO Mới: xem hạn 30 tuổi, bát tự."
,,,,,,,,
THÁNG 6,,,,,,,,
Publish day,01/06/2026,04/06/2026,10/06/2026,14/06/2026,18/06/2026,22/06/2026,26/06/2026
Campaign,Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign A (Zeus),Campaign A (Zeus)
Angle,"Giỏi nhưng không vui? Sai việc, không phải sai cách","MBTI nói bạn là ai, Bát tự nói bạn phải làm gì",Hỏi: Thu nhập xịn mà vẫn burnout là sao?,Sự nghiệp điểm 10 nhưng tình duyên lệch tần số,Bạn thuộc nguyên tố ngũ hành nào?,"Freelancer làm giỏi, mở team lại lỗ",Gói phân tích báo cáo Zeus
Format,Meta Ads - Video 30s,TikTok Ads - In-feed Video,FB Organic (Seeding) - Text/QA,Meta Ads - Tinder Profile UI,TikTok Organic - Video 1-min,Meta Retargeting - Carousel,Google Search - Search Ad
Objective,Tạo Leads qua Free Tool,Tạo Leads qua Tool,Tương tác,Tạo Leads mới,Tạo Awareness,Sustain Sales,Sustain Sales
Link,,,,,,,
Details,Giới thiệu tool Artemis lấy list email cho tập 24-30 (P02).,Đánh mạnh tính so sánh MBTI và Bát tự trên TikTok chọc tò mò (P02).,"Post ẩn danh làm mồi seeding, dẫn link trong group Tâm lý học, diễn đàn MBTI.",Persona P07 (Anxious Dater) quét AI Cupid lọc trap boy.,Founder chỉ ra ứng dụng nguyên tố năng lượng cá nhân.,Dành cho nhóm Solopreneur mông lung (P04).,Maintain các Keyword Search trả phí tốt nhất của Campaign A.
,,,,,,,,
THÁNG 7,,,,,,,,
Publish day,03/07/2026,07/07/2026,12/07/2026,16/07/2026,20/07/2026,24/07/2026,28/07/2026
Campaign,Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B -> A
Angle,Cứu vãn tình yêu bằng việc xoay luồng khí nhà ở,MBTI vs Bát tự (A/B Test Creative 2),Vampire vắt kiệt sinh lực chốn công sở,Khoe kết quả khách hàng sau khi đổi năng lượng,"Đừng bắt cá leo cây: Mã gen năng lượng trẻ (Zeus Child)",Red flag mọc đầy do năng lượng lỗi bên trong,Bạn thuộc nguyên tố nào - Khám phá sâu hơn
Format,Meta Ads - Checklist,TikTok Ads - Video POV,Meta Ads - Meme Comic 4 Ô,FB Organic - Album,TikTok Ads - Video 15s,Meta Ads - Video 30s,Email Marketing - Email Sequence
Objective,Scale Ads,Scale Ads,Scale Ads,Building Trust,Scale Ads,Scale Ads,Nurture -> Upsell
Link,,,,,,,
Details,Scale winning ads cho P08 (Trapped Partner) - xoay trục nhà cửa.,Test winning creative với góc nhìn hài hước Gen Z.,P13 (Drained Empath): Trào phúng nhẹ nhàng về đồng nghiệp bòn rút công sức.,Khách hàng review thực tế Artemis mang lại wow moment ntn.,"Dành cho phụ huynh (P10) quan tâm tới con cái, mở rộng sang Zeus Child.",P07 góc nhìn 2 (Tự phát sóng lỗi thay vì gặp xui).,Series Email mở đường giới thiệu Zeus Report cho tập đã làm Artemis test.
,,,,,,,,
THÁNG 8,,,,,,,,
Publish day,02/08/2026,06/08/2026,11/08/2026,15/08/2026,20/08/2026,25/08/2026,29/08/2026
Campaign,Campaign B -> A,Campaign B -> A,Campaign A (Zeus),Campaign B -> A,Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus)
Angle,Bạn đã biết mình hợp gì qua Artemis - Đây là bản đồ trọn đời!,Case Study: Từ tool miễn phí tới định hướng lớn,"Làm tự do mở team sao lỗ? Báo động chu kỳ 10 năm",Tường tận bên trong cuốn Report Zeus 600K có gì?,Q&A Live với Founder,Thiết kế tương lai 10 năm với đại vận,Chọn sai Rễ đối tác doanh nghiệp (P12)
Format,Meta Retargeting - Single Image,TikTok Retargeting - Video Story,Meta Ads - Carousel,Meta Retargeting - Video 30s,FB Organic - Livestream / Post,Google Display - Banner,TikTok Ads - Video
Objective,Upsell lên Zeus (Sale),Upsell lên Zeus,Sustain,Upsell lên Zeus,Tương tác,Retargeting,Sustain Lead
Link,,,,,,,
Details,Scale mạnh Retargeting ngân sách khủng chuyển đổi User Free sang Paid.,Khách hàng chia sẻ wow moment khi nâng cấp.,Duy trì ad Zeus cho người tự do góc nhìn 2 (P04).,"Video đập hộp và show chi tiết các phần dashboard, lý do đáng 600k.",Giải đáp các câu hỏi thường gặp về độ chính xác logic.,Hiển thị bám đuổi tập lead Artemis nhưng chưa ra quyết định mua.,Target thẳng vào lỗi Founder / nhóm hùn vốn anh em.
,,,,,,,,
THÁNG 9,,,,,,,,
Publish day,04/09/2026,08/09/2026,12/09/2026,16/09/2026,21/09/2026,25/09/2026,29/09/2026
Campaign,Campaign C (B2B HR),Campaign C (B2B HR),Campaign A (Zeus),Campaign C (B2B HR),Campaign B (Artemis),Campaign A (Zeus),Campaign C (B2B HR)
Angle,Tải Báo cáo: Sai lầm cấu trúc năng lượng của SME VN,Có phải nhân sự xịn mà thành thảm họa vào tay bạn?,Đội ngũ mạnh vẫn gãy: Năng lượng Founder có sạn,Bàn luận: Vì sao tuyển nhầm 1 người nát cả phòng ban,"Năng lượng ngột ngạt sau tan vỡ, đào thải hay chữa lành?",Đối phó với Nghiệp quả chốn văn phòng,Giới thiệu sớm giải pháp HR Energy Scoring cho Lead
Format,Blog/SEO - Landing Page,LinkedIn Organic - Article,Meta Ads - Carousel,FB Organic (Seeding) - Seeding Group,TikTok Ads - Video,Meta Ads - Carousel,Direct Email - Cold Email
Objective,Thu Leads B2B,Awareness B2B,Sustain,Awareness,Sustain,Sustain,B2B Leads
Link,,,,,,,
Details,Ra mắt landing page cho mảng B2B xin thông tin email để tải.,Bắt đầu warm-up tệp CEO SME/HR trên kênh LinkedIn (Dùng persona P11).,Khai thác góc nhìn P03 Angle 2 - Founder gánh sát khí đội ngũ.,Post mồi vào các group: Quản trị HR Vietnam...,Đánh góc nhìn Post-Trauma Rebuilder (P09).,Dành cho P05 góc nhìn 2.,Email gửi riêng cho danh sách cold leads HR gom tay từ trước.
,,,,,,,,
THÁNG 10,,,,,,,,
Publish day,02/10/2026,06/10/2026,10/10/2026,15/10/2026,18/10/2026,22/10/2026,28/10/2026
Campaign,Campaign C (B2B HR),Campaign C (B2B HR),Campaign C (B2B HR),Campaign C (B2B HR),Campaign A (Zeus),Campaign A (Zeus),Campaign C (B2B HR)
Angle,Khảo sát nhân lực: Đặt đúng người - đúng vị trí ngũ hành,"Giữ chân người sinh tiền, thanh lọc kẻ mang sát khí",Gửi Demo Report B2B HR Scoring cho Quý Doanh Nghiệp,Bất ngờ với mũi tên mâu thuẫn trong Team Map,Hùn vốn bạn thân: Mất tiền mất bạn vì xung khắc (P12),Review lại bản đồ Zeus sau nửa năm: Đánh giá thực tế,Case study B2B: SME áp dụng Team Map thành công NTN
Format,LinkedIn Ads - Document Ad,Meta B2B Ads - Carousel,Direct Outreach - Email / DM,LinkedIn Ads - Video,TikTok Ads - POV / Talkshow,Meta Retargeting - Single Image,LinkedIn Organic - Article
Objective,B2B Leads,B2B Leads,Meeting Book,B2B Leads,Sustain,Sale,B2B Trust
Link,,,,,,,
Details,Chạy target thẳng chức danh HR Director / CEO tại HCM/HN.,Gắn budget chạy Meta vào tệp admin kinh doanh/nhà quản lý.,Cold email / DM LinkedIn list HR để book demo tool nội bộ.,Zeus Team Map vận hành giải quyết bài toán nhân sự.,Góc nhìn 2 (Angle 2) khai thác xung khắc bạn chí cốt.,Cho khách hàng review lại phán đoán của tool sau nửa năm.,Share case study ẩn danh của tệp B2B lên group HR.
,,,,,,,,
THÁNG 11,,,,,,,,
Publish day,03/11/2026,07/11/2026,12/11/2026,17/11/2026,22/11/2026,26/11/2026,30/11/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign C (B2B HR),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign C (B2B HR)
Angle,Đón sóng lớn 2027: Bản đồ Zeus 12 tháng,Kỷ nguyên đại vận mới 2027: Phải chuẩn bị bản lề gì?,Dọn dẹp và kiểm tra độ sinh khí ứng viên cuối năm,Từ khóa: "Lá số 2027",Feedback từ doanh nghiệp trải nghiệm Zeus Team Map,Năm mới đổi vận với gói yearly,Rà soát năng lượng team trước thềm kết toán năm
Format,Meta Ads - Carousel,TikTok Ads - Short Video,LinkedIn Ads - Image,Google Search - Search Ad,FB Organic - Album,Email Marketing - Template Email,Meta B2B - Carousel
Objective,Sale (Zeus Yearly),Awareness,B2B Leads,Bắt intent,Trust,Upsell,B2B Leads
Link,,,,,,,
Details,Chuyển góc độ sang planning cho năm mới.,Forecast chung các hệ ngũ hành trong năm 2027.,Cung cấp checklist đánh giá lại nhân sự cuối năm cho CEO.,Bắt đầu chi tiền search cho keyword định hướng 2027.,Đăng social proof B2B.,Gửi chuỗi mua gói Upgrade năm mới.,Nhắc nhở SME chốt sổ đánh giá năng lực nội tại team qua tool.
,,,,,,,,
THÁNG 12,,,,,,,,
Publish day,04/12/2026,09/12/2026,14/12/2026,18/12/2026,22/12/2026,26/12/2026,29/12/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign C (B2B HR),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Community
Angle,"Nhìn lại 2026 vất vả: Do thiếu nỗ lực hay đại vận đẩy đưa?",Tổng kết tài lộc 2026 qua lăng kính vận mệnh,Năm mới - Đội hình mới: Lọc máu sự nghiệp với Team Map,Cuối cùng là bạn đã đi đúng hướng 2027 chưa?,Gói Bundle đặc quyền: Report 10 năm + Forecast 2027,Thẻ Gift: Tặng bản đồ năng lượng sự nghiệp cho người trân quý,Tâm thư cuối năm: Lời chúc & thông điệp từ vũ trụ 2027
Format,Meta Ads - Video 30s,TikTok Ads - Video 15s,LinkedIn Ads - Image,Google Display - Banner,Email Marketing - Email,Meta Retargeting - Image,FB Organic - Album / Text
Objective,Sale,Awareness,B2B Leads,Retargeting,Sale,Sale,Tương tác
Link,,,,,,,
Details,Chạm nỗi đau reflection - nhìn lại cuối năm mà chưa đạt target.,Tổng hợp vận trình năm vừa qua (Khơi gợi đồng cảm).,Cho các cty làm mới quy trình tuyển dụng và nhận cơ cấu team mới.,Reach bám đuổi tập lead ấm.,Tung gói sale cuối.,Khuyến khích tặng quà kiểu mới (Trí tuệ / Tâm linh).,Lời chúc cộng đồng 5balance.
